gene,SRR11426824,SRR11426825,SRR11426826,SRR11426821,SRR11426822,SRR11426823
1,3,5,5,24,15,29
10,0,0,0,0,1,0
100,315,286,346,104,122,101
1000,1055,1235,1109,344,304,263
10000,824,844,738,207,163,145
100008586,0,0,0,0,0,0
100009676,27,27,30,77,42,59
10001,443,446,430,38,41,27
10002,46,44,48,11,12,6
10003,34,36,26,161,140,148
100033413,0,0,0,0,0,1
100033414,6,1,1,4,3,1
100033415,0,0,0,0,0,0
100033416,0,0,0,0,0,0
100033417,0,0,0,0,0,0
100033420,0,0,0,1,0,0
100033422,0,0,0,0,0,0
100033423,0,0,0,0,0,0
100033424,0,0,0,0,0,0
100033425,0,0,2,3,1,0
100033427,0,0,0,0,0,0
100033428,0,0,0,0,0,0
100033430,0,0,0,0,0,0
100033431,5,7,0,2,3,5
100033433,0,0,0,0,0,0
100033434,0,0,0,1,2,0
100033435,0,1,0,0,0,0
100033436,0,0,0,0,0,0
100033437,0,0,0,0,0,0
100033438,3,2,1,2,0,2
100033440,0,0,0,0,0,0
100033441,0,0,0,0,0,0
100033442,0,0,0,0,0,0
100033443,0,0,0,0,0,0
100033444,0,0,0,0,0,0
100033445,0,0,0,0,0,0
100033446,0,0,0,0,0,0
100033447,0,0,0,0,0,0
100033448,0,0,0,0,0,0
100033450,0,0,0,0,0,0
100033451,0,0,0,0,0,0
100033454,0,0,0,0,0,0
100033455,0,0,0,0,0,0
100033799,0,0,0,0,0,0
100033801,0,0,0,0,0,0
100033802,0,0,0,0,0,0
100033804,0,0,0,0,0,0
100033805,0,0,0,0,0,0
100033806,0,0,0,0,0,0
100033807,0,0,0,0,0,0
100033809,0,0,0,0,0,0
100033811,0,0,0,0,0,0
100033812,0,0,0,0,0,0
100033813,0,0,0,0,0,0
100033814,0,0,0,0,0,0
100033815,0,0,0,0,0,0
100033818,0,0,0,0,0,0
100033819,0,0,0,0,0,0
100033820,0,0,0,0,0,0
100033821,0,0,0,0,0,0
100033822,0,0,0,0,1,0
100036519,0,1,0,0,0,0
100036563,0,0,0,1,0,0
100036564,0,0,0,0,0,0
100036565,0,0,0,0,0,0
100036566,0,0,0,0,1,0
